"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1999/03/01","00:00","0.619","0.199","0.14","-0.006","-0.01","-0.161","-0.207","-0.495","0"
"1999/04/01","00:00","0.68","0.224","0.168","0.015","0.017","-0.135","-0.189","-0.448","0"
"1999/05/01","00:00","0.453","0.222","0.176","0.032","0.034","-0.108","-0.151","-0.411","0"
"1999/06/01","00:00","0.41","0.212","0.163","0.019","0.023","-0.117","-0.149","-0.365","0"
"1999/07/01","00:00","0.406","0.239","0.199","0.052","0.059","-0.081","-0.117","-0.405","0"
"1999/08/01","00:00","0.401","0.246","0.214","0.067","0.072","-0.07","-0.102","-0.431","0"
"1999/09/01","00:00","1.563","0.442","0.399","0.277","0.275","0.151","0.121","-0.065","0"
"1999/10/01","00:00","0.504","0.286","0.258","0.133","0.134","0.011","-0.03","-0.247","0"
"1999/11/01","00:00","0.523","0.182","0.146","0.011","0.013","-0.12","-0.154","-0.417","0"
"1999/12/01","00:00","0.401","0.172","0.122","-0.021","-0.019","-0.16","-0.193","-0.387","0"
"2000/01/01","00:00","0.653","0.128","0.066","-0.092","-0.088","-0.241","-0.292","-0.474","0"
"2000/02/01","00:00","0.238","0.047","0.006","-0.148","-0.145","-0.296","-0.348","-0.619","0"
"2000/03/01","00:00","0.369","0.152","0.1","-0.05","-0.05","-0.2","-0.253","-0.552","0"
"2000/04/01","00:00","0.464","0.21","0.161","0.012","0.015","-0.131","-0.181","-0.589","0"
"2000/05/01","00:00","0.405","0.262","0.203","0.064","0.069","-0.065","-0.115","-0.428","0"
"2000/06/01","00:00","0.366","0.25","0.197","0.065","0.071","-0.055","-0.096","-0.365","0"
"2000/07/01","00:00","0.427","0.268","0.221","0.095","0.1","-0.021","-0.052","-0.242","0"
"2000/08/01","00:00","0.468","0.267","0.23","0.101","0.107","-0.016","-0.044","-0.207","0"
"2000/09/01","00:00","0.527","0.296","0.259","0.129","0.133","0.007","-0.034","-0.292","0"
"2000/10/01","00:00","0.397","0.221","0.194","0.066","0.072","-0.051","-0.08","-0.287","0"
"2000/11/01","00:00","0.489","0.261","0.225","0.107","0.109","-0.007","-0.042","-0.339","0"
"2000/12/01","00:00","0.569","0.106","0.065","-0.089","-0.086","-0.238","-0.292","-0.509","0"
"2001/01/01","00:00","0.372","0.109","0.065","-0.087","-0.084","-0.234","-0.268","-0.446","0"
"2001/02/01","00:00","0.215","0.054","0.011","-0.145","-0.141","-0.293","-0.346","-0.652","0"
"2001/03/01","00:00","0.415","0.186","0.148","0.005","0.006","-0.136","-0.19","-0.479","0"
"2001/04/01","00:00","0.37","0.187","0.131","-0.015","-0.014","-0.16","-0.196","-0.527","0"
"2001/05/01","00:00","0.479","0.18","0.144","0.005","0.007","-0.131","-0.168","-0.573","0"
"2001/06/01","00:00","0.387","0.215","0.175","0.04","0.046","-0.083","-0.121","-0.28","0"
"2001/07/01","00:00","0.357","0.196","0.155","0.025","0.028","-0.1","-0.149","-0.338","0"
"2001/08/01","00:00","0.409","0.201","0.164","0.029","0.033","-0.097","-0.127","-0.24","0"
"2001/09/01","00:00","0.39","0.23","0.21","0.072","0.075","-0.061","-0.092","-0.248","0"
"2001/10/01","00:00","0.454","0.201","0.166","0.028","0.032","-0.102","-0.128","-0.274","0"
"2001/11/01","00:00","0.221","0.14","0.098","-0.049","-0.044","-0.187","-0.217","-0.409","0"
"2001/12/01","00:00","0.442","0.183","0.137","-0.01","-0.005","-0.148","-0.184","-0.377","0"
"2002/01/01","00:00","0.271","0.07","0.015","-0.149","-0.143","-0.302","-0.343","-0.576","0"
"2002/02/01","00:00","0.324","0.137","0.09","-0.057","-0.054","-0.199","-0.237","-0.449","0"
"2002/03/01","00:00","0.221","0.07","0.028","-0.129","-0.124","-0.277","-0.334","-0.646","0"
"2002/04/01","00:00","0.501","0.139","0.085","-0.057","-0.054","-0.193","-0.239","-0.461","0"
"2002/05/01","00:00","0.447","0.144","0.084","-0.066","-0.065","-0.213","-0.255","-0.567","0"
