"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1983/06/01","00:00","0.818","0.571","0.47","-0.005","-0.005","-0.481","-0.53","-0.746","0"
"1983/07/01","00:00","0.946","0.577","0.479","0.004","0.001","-0.481","-0.524","-0.798","0"
"1983/08/01","00:00","0.894","0.601","0.516","0.034","0.031","-0.453","-0.496","-0.758","0"
"1983/09/01","00:00","0.882","0.68","0.589","0.113","0.104","-0.38","-0.42","-0.743","0"
"1983/10/01","00:00","1.159","0.732","0.638","0.153","0.153","-0.335","-0.377","-0.728","0"
"1983/11/01","00:00","0.939","0.632","0.528","0.034","0.031","-0.469","-0.514","-0.868","0"
"1983/12/01","00:00","0.973","0.574","0.461","-0.024","-0.03","-0.517","-0.585","-0.862","0"
"1984/01/01","00:00","1.031","0.601","0.479","0.001","-0.002","-0.484","-0.527","-0.847","0"
"1984/02/01","00:00","0.921","0.504","0.403","-0.085","-0.088","-0.578","-0.621","-0.816","0"
"1984/03/01","00:00","0.894","0.558","0.476","-0.005","-0.008","-0.493","-0.536","-0.825","0"
"1984/04/01","00:00","1.071","0.641","0.552","0.077","0.074","-0.408","-0.441","-0.591","0"
"1984/05/01","00:00","0.86","0.51","0.391","-0.097","-0.1","-0.594","-0.63","-0.856","0"
"1984/06/01","00:00","0.842","0.525","0.409","-0.069","-0.072","-0.551","-0.585","-0.841","0"
"1984/07/01","00:00","0.836","0.479","0.369","-0.118","-0.121","-0.612","-0.639","-0.935","0"
"1984/08/01","00:00","0.915","0.632","0.543","0.052","0.049","-0.444","-0.487","-0.819","0"
"1984/09/01","00:00","1.131","0.699","0.61","0.126","0.12","-0.371","-0.414","-0.89","0"
"1984/10/01","00:00","1.305","0.714","0.619","0.144","0.141","-0.338","-0.38","-0.819","0"
"1984/11/01","00:00","0.936","0.671","0.558","0.083","0.08","-0.396","-0.432","-0.701","0"
"1984/12/01","00:00","0.826","0.494","0.397","-0.069","-0.076","-0.545","-0.591","-0.893","0"
"1985/01/01","00:00","0.817","0.491","0.382","-0.072","-0.079","-0.542","-0.597","-1.07","0"
"1985/02/01","00:00","0.838","0.449","0.348","-0.143","-0.152","-0.649","-0.7","-0.945","0"
"1985/03/01","00:00","0.628","0.403","0.315","-0.155","-0.158","-0.627","-0.67","-0.969","0"
"1985/04/01","00:00","0.811","0.461","0.36","-0.124","-0.127","-0.615","-0.661","-1.094","0"
"1985/05/01","00:00","1.104","0.543","0.437","-0.048","-0.054","-0.545","-0.585","-1.045","0"
"1985/06/01","00:00","0.838","0.537","0.406","-0.076","-0.082","-0.569","-0.618","-0.762","0"
"1985/07/01","00:00","0.946","0.54","0.427","-0.054","-0.057","-0.542","-0.585","-0.847","0"
"1985/08/01","00:00","0.845","0.558","0.47","-0.002","-0.008","-0.484","-0.524","-0.77","0"
"1985/09/01","00:00","1.025","0.592","0.498","0.022","0.019","-0.46","-0.511","-0.798","0"
"1985/10/01","00:00","0.9","0.601","0.51","0.037","0.034","-0.441","-0.475","-0.77","0"
"1985/11/01","00:00","1.083","0.674","0.558","0.092","0.089","-0.377","-0.423","-0.932","0"
"1985/12/01","00:00","1.199","0.522","0.388","-0.082","-0.088","-0.566","-0.63","-0.978","0"
"1986/01/01","00:00","0.832","0.354","0.238","-0.238","-0.241","-0.716","-0.771","-1.243","11"
"1986/02/01","00:00","0.909","0.552","0.448","-0.021","-0.024","-0.497","-0.542","-0.755","11"
"1986/03/01","00:00","0.647","0.373","0.287","-0.191","-0.197","-0.682","-0.719","-1.124","0"
"1986/04/01","00:00","1.01","0.629","0.528","0.049","0.046","-0.438","-0.472","-0.642","0"
"1986/05/01","00:00","0.979","0.568","0.458","-0.018","-0.021","-0.502","-0.545","-0.874","0"
"1986/06/01","00:00","0.827","0.476","0.357","-0.115","-0.121","-0.597","-0.652","-0.941","0"
"1986/07/01","00:00","0.903","0.568","0.446","-0.021","-0.018","-0.484","-0.527","-0.642","0"
"1986/08/01","00:00","1.013","0.571","0.479","0.019","0.013","-0.453","-0.502","-0.795","0"
"1986/09/01","00:00","0.763","0.571","0.476","0.013","0.007","-0.46","-0.499","-0.822","0"
"1986/10/01","00:00","0.961","0.659","0.571","0.098","0.095","-0.377","-0.411","-0.624","0"
"1986/11/01","00:00","0.921","0.626","0.507","0.028","0.028","-0.45","-0.496","-0.7","0"
"1986/12/01","00:00","1.067","0.613","0.473","-0.005","-0.012","-0.496","-0.539","-0.859","0"
"1987/01/01","00:00","1.199","0.638","0.501","0.016","0.007","-0.487","-0.548","-0.908","0"
"1987/02/01","00:00","0.824","0.552","0.449","-0.018","-0.018","-0.487","-0.524","-0.716","0"
"1987/03/01","00:00","0.903","0.647","0.558","0.077","0.074","-0.411","-0.447","-0.783","0"
"1987/04/01","00:00","1.031","0.626","0.534","0.071","0.068","-0.399","-0.435","-0.74","0"
"1987/05/01","00:00","0.854","0.555","0.44","-0.021","-0.024","-0.484","-0.524","-0.777","0"
"1987/06/01","00:00","0.833","0.558","0.44","-0.021","-0.024","-0.487","-0.527","-0.853","0"
"1987/07/01","00:00","0.918","0.589","0.485","0.016","0.016","-0.457","-0.499","-0.621","0"
"1987/08/01","00:00","0.915","0.638","0.534","0.062","0.056","-0.42","-0.463","-0.844","0"
"1987/09/01","00:00","0.897","0.632","0.534","0.059","0.056","-0.423","-0.453","-0.743","0"
"1987/10/01","00:00","0.863","0.619","0.519","0.049","0.043","-0.435","-0.472","-0.871","0"
"1987/11/01","00:00","0.955","0.568","0.446","-0.018","-0.021","-0.49","-0.539","-0.92","0"
"1987/12/01","00:00","NaN","0.562","0.433","-0.03","-0.042","-0.517","-0.572","NaN","11"
"1988/01/01","00:00","0.824","0.524","0.406","-0.064","-0.067","-0.536","-0.597","-0.853","11"
"1988/02/01","00:00","0.863","0.516","0.4","-0.072","-0.076","-0.554","-0.603","-0.987","0"
"1988/03/01","00:00","0.793","0.446","0.342","-0.13","-0.133","-0.609","-0.642","-0.856","0"
"1988/04/01","00:00","1.384","0.653","0.537","0.065","0.065","-0.411","-0.463","-0.902","0"
"1988/05/01","00:00","0.9","0.568","0.449","-0.03","-0.036","-0.521","-0.548","-0.822","0"
