"Date","Time (GMT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1985/01/01","00:00","0.725","0.496","0.392","-0.038","-0.047","-0.486","-0.553","-0.863","0"
"1985/02/01","00:00","0.956","0.404","0.325","-0.135","-0.15","-0.623","-0.662","-0.854","0"
"1985/03/01","00:00","0.596","0.407","0.331","-0.12","-0.123","-0.58","-0.623","-0.873","0"
"1985/04/01","00:00","0.654","0.407","0.325","-0.129","-0.132","-0.589","-0.623","-0.809","0"
"1985/05/01","00:00","0.871","0.566","0.468","0.008","0.002","-0.467","-0.501","-0.885","0"
"1985/06/01","00:00","0.776","0.545","0.426","-0.028","-0.044","-0.513","-0.562","-0.79","1"
"1985/07/01","00:00","0.77","0.557","0.447","-0.013","-0.022","-0.492","-0.54","-0.668","0"
"1985/08/01","00:00","0.813","0.606","0.517","0.06","0.057","-0.4","-0.446","-0.742","0"
"1985/09/01","00:00","1.115","0.606","0.532","0.078","0.078","-0.376","-0.415","-0.531","0"
"1985/10/01","00:00","0.91","0.679","0.593","0.151","0.148","-0.297","-0.339","-0.522","0"
"1985/11/01","00:00","1.008","0.642","0.545","0.097","0.097","-0.355","-0.397","-0.763","0"
"1985/12/01","00:00","0.813","0.453","0.343","-0.105","-0.111","-0.568","-0.623","-0.833","0"
"1986/01/01","00:00","0.706","0.42","0.322","-0.138","-0.141","-0.604","-0.662","-0.961","0"
"1986/02/01","00:00","0.697","0.517","0.423","-0.047","-0.044","-0.51","-0.553","-0.8","0"
"1986/03/01","00:00","0.593","0.362","0.286","-0.175","-0.181","-0.647","-0.687","-0.931","0"
"1986/04/01","00:00","0.868","0.593","0.493","0.045","0.039","-0.415","-0.44","-0.62","0"
"1986/05/01","00:00","0.801","0.599","0.499","0.054","0.051","-0.397","-0.437","-0.681","0"
"1986/06/01","00:00","0.91","0.599","0.49","0.045","0.042","-0.409","-0.452","-0.629","0"
"1986/07/01","00:00","0.862","0.575","0.465","0.023","0.02","-0.425","-0.479","-0.672","0"
"1986/08/01","00:00","0.819","0.532","0.444","0.002","-0.001","-0.446","-0.495","-0.681","0"
"1986/09/01","00:00","0.749","0.563","0.484","0.036","0.036","-0.409","-0.449","-0.62","0"
"1986/10/01","00:00","0.779","0.587","0.514","0.063","0.066","-0.385","-0.415","-0.586","0"
"1986/11/01","00:00","0.968","0.612","0.511","0.057","0.057","-0.397","-0.437","-0.705","0"
"1986/12/01","00:00","1.215","0.606","0.484","0.023","0.017","-0.449","-0.495","-0.714","0"
"1987/01/01","00:00","1.24","0.566","0.45","-0.019","-0.019","-0.486","-0.553","-0.705","0"
"1987/02/01","00:00","0.752","0.508","0.42","-0.038","-0.034","-0.492","-0.54","-0.726","0"
"1987/03/01","00:00","0.749","0.587","0.499","0.036","0.036","-0.425","-0.458","-0.699","0"
"1987/04/01","00:00","0.904","0.542","0.447","-0.004","-0.004","-0.458","-0.492","-0.763","0"
"1987/05/01","00:00","0.718","0.505","0.386","-0.056","-0.062","-0.51","-0.54","-0.748","0"
"1987/06/01","00:00","0.764","0.496","0.383","-0.065","-0.068","-0.522","-0.565","-0.787","0"
"1987/07/01","00:00","0.865","0.551","0.453","0.002","0.002","-0.449","-0.504","-0.617","0"
"1987/08/01","00:00","0.828","0.542","0.462","0.002","0.002","-0.455","-0.507","-0.732","0"
